Specimen Code,Common Name,Latin Name,City,Province,Country,Latitude,Longitude,Matrix PCR Result,Matrix PCR Sample Type,Matrix PCR Lab,Matrix PCR Result Date,H5 PCR Result,H5 PCR Sample Type,H5 PCR Lab,H5 PCR Result Date,H7 PCR Result,H7 PCR Sample Source,H7 Testing Lab,H7 PCR Result Date
CWHC.136739.1,Trumpeter Swan,Cygnus buccinator,Markham,Ontario,Canada,43.832132,-79.26995,Negative ,Combination Sample ,Animal Health Lab - University of Guelph,,,,,,,,,
CWHC.136185.1,Ring-Billed Gull,Larus delawarensis,Wetaskiwin,Alberta,Canada,52.9695,-113.3772,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-08-17,,,,,,,,
CWHC.136472.1,Bald Eagle,Haliaeetus leucocephalus,Barrhead,Alberta,Canada,54.1673,-114.5269,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-09-19,,,,,,,,
CWHC.138207.1,Snowy Owl,Bubo scandiacus,Tobermory,Ontario,Canada,45.2533625,-81.6645411,Negative ,Combination Sample ,Animal Health Lab - University of Guelph,,,,,,,,,
CWHC.135779.1,Merlin,Falco columbarius,Saskatoon,Saskatchewan,Canada,52.1473939,-106.5910967,Negative ,Combination Sample ,Prairie Diagnostic Services ,2017-08-31,,,,,,,,
CWHC.136077.1,Blue-Winged Teal,Anas discors,,Saskatchewan,Canada,51.701373,-106.51696,Negative ,Combination Sample ,Prairie Diagnostic Services ,2017-10-11,Negative,,Prairie Diagnostic Services,2017-09-07,Negative,,Prairie Diagnostic Services,2017-09-07
CWHC.136088.1,Blue-Winged Teal,Anas discors,,Saskatchewan,Canada,51.701373,-106.51696,Negative ,Combination Sample ,Prairie Diagnostic Services ,2017-09-07,,,,,,,,
CWHC.136650.1,Mallard,Anas platyrhynchos,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-10-05,,,,,,,,
CWHC.136844.1,Canada Goose,Branta canadensis,Neuville,Québec,Canada,46.69777778,-71.6075,Negative ,Combination Sample ,Laboratoire d'épidémiosurveillance animale du Québec ,2017-11-02,,,,,,,,
CWHC.135716.2,Pine Siskin,Carduelis pinus,Sainte-Brigitte-de-Laval,Québec,Canada,47.002378,-71.1942119,Negative ,Combination Sample ,Laboratoire d'épidémiosurveillance animale du Québec ,2017-08-10,,,,,,,,
CWHC.137322.1,Ring-Billed Gull,Larus delawarensis,Longueuil,Québec,Canada,45.54363,-73.4715403,Negative ,Combination Sample ,Laboratoire d'épidémiosurveillance animale du Québec ,2017-11-28,,,,,,,,
CWHC.136914.1,Common Loon,Gavia immer,Chester Basin,Nova Scotia,Canada,44.6265,-64.30557,Negative ,Combination Sample ,AVC - Diagnostic Virology Laboratory ,2018-01-11,,,,,,,,
CWHC.135695.1,American Kestrel,Falco sparverius,La Motte,Québec,Canada,48.33333333,-78.11666667,Negative ,Combination Sample ,Laboratoire d'épidémiosurveillance animale du Québec ,2017-08-15,,,,,,,,
CWHC.135784.1,American Crow,Corvus brachyrhynchos,Saskatoon,Saskatchewan,Canada,52.1741547,-106.61317,Negative ,Combination Sample ,Prairie Diagnostic Services ,2017-08-31,,,,,,,,
